Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8049901510177282,0.8216216216216217,0.6972477064220184,0.7543424317617866
SVM,0.8017071569271176,0.8055555555555556,0.709480122324159,0.7544715447154472
DistilBERT,0.8384766907419566,0.8300970873786407,0.7844036697247706,0.8066037735849056
BERT,0.8299409061063691,0.8149920255183413,0.7813455657492355,0.7978142076502732
RoBERTa,0.8384766907419566,0.8258785942492013,0.790519877675841,0.8078125
ALBERT,0.8319107025607354,0.8220064724919094,0.7767584097859327,0.7987421383647799
